work_product_id,name,method_work_product_ids,source_processes,producer_tasks,consumer_tasks,hypothetical_instance,status
psm-artifact.deployment-strategy,Deployment Strategy,,psm,task.psm.ph1.st1.t1 | task.psm.ph1.st1.t2 | task.psm.ph1.st1.t3,task.psm.ph1.st1.t2 | task.psm.ph1.st1.t3 | task.psm.ph1.st2.t1 | task.psm.ph1.st2.t2 | task.psm.ph1.st3.t1 | task.psm.ph1.st3.t2 | task.psm.ph2.st1.t1 | task.psm.ph2.st1.t2 | task.psm.ph2.st2.t1 | task.psm.ph2.st2.t2 | task.psm.ph3.st1.t1 | task.psm.ph3.st1.t2 | task.psm.ph3.st2.t1 | task.psm.ph3.st2.t2 | task.psm.ph4.st1.t1 | task.psm.ph4.st1.t2 | task.psm.ph4.st2.t1 | task.psm.ph5.st1.t1 | task.psm.ph6.st1.t1 | task.psm.ph6.st2.t1 | task.psm.ph6.st3.t1,CS-PSM-ARTIFACT-DEPLOYMENT-STRATEGY-V1,simulated-produced-and-reviewed
psm-artifact.event-fabric,Event Fabric,,psm,task.psm.ph4.st1.t1 | task.psm.ph4.st1.t2,task.psm.ph4.st1.t2 | task.psm.ph4.st2.t1 | task.psm.ph4.st2.t2 | task.psm.ph5.st1.t2 | task.psm.ph5.st2.ss1.t1 | task.psm.ph5.st2.ss2.t1 | task.psm.ph5.st2.ss2.t2 | task.psm.ph6.st1.t1 | task.psm.ph6.st2.t1,CS-PSM-ARTIFACT-EVENT-FABRIC-V1,simulated-produced-and-reviewed
psm-artifact.increment-plan,PSM Increment Plan,,psm,task.psm.ph1.st0.t1,task.psm.ph1.st1.t1 | task.psm.ph1.st1.t2 | task.psm.ph1.st1.t3 | task.psm.ph1.st2.t1 | task.psm.ph2.st1.t1 | task.psm.ph6.st2.t1 | task.psm.ph6.st3.t1,CS-PSM-ARTIFACT-INCREMENT-PLAN-V1,simulated-produced-and-reviewed
psm-artifact.increment-review,PSM Increment Review Record,,psm,task.psm.ph6.st3.t1,,CS-PSM-ARTIFACT-INCREMENT-REVIEW-V1,simulated-produced-and-reviewed
psm-artifact.integration-views,Integration View Catalog,,psm,task.psm.ph6.st1.t1,task.psm.ph6.st2.t1 | task.psm.ph6.st3.t1,CS-PSM-ARTIFACT-INTEGRATION-VIEWS-V1,simulated-produced-and-reviewed
psm-artifact.messaging-layer,Messaging Layer,,psm,task.psm.ph3.st2.t1 | task.psm.ph3.st2.t2,task.psm.ph3.st2.t2 | task.psm.ph4.st1.t1 | task.psm.ph4.st1.t2 | task.psm.ph6.st1.t1 | task.psm.ph6.st2.t1,CS-PSM-ARTIFACT-MESSAGING-LAYER-V1,simulated-produced-and-reviewed
psm-artifact.network-identity,Network & Identity,,psm,task.psm.ph2.st1.t1 | task.psm.ph2.st1.t2 | task.psm.ph2.st2.t1 | task.psm.ph2.st2.t2,task.psm.ph2.st1.t2 | task.psm.ph2.st2.t1 | task.psm.ph2.st2.t2 | task.psm.ph3.st1.t1 | task.psm.ph3.st1.t2 | task.psm.ph3.st2.t1 | task.psm.ph3.st2.t2 | task.psm.ph4.st1.t1 | task.psm.ph4.st1.t2 | task.psm.ph4.st2.t1 | task.psm.ph4.st2.t2 | task.psm.ph5.st1.t1 | task.psm.ph5.st1.t2 | task.psm.ph5.st2.ss1.t1 | task.psm.ph5.st2.ss2.t2 | task.psm.ph6.st1.t1 | task.psm.ph6.st2.t1,CS-PSM-ARTIFACT-NETWORK-IDENTITY-V1,simulated-produced-and-reviewed
psm-artifact.security-baseline,Security Baseline,,psm,task.psm.ph1.st3.t1 | task.psm.ph1.st3.t2,task.psm.ph1.st3.t2 | task.psm.ph2.st1.t1 | task.psm.ph2.st1.t2 | task.psm.ph2.st2.t1 | task.psm.ph2.st2.t2 | task.psm.ph3.st1.t1 | task.psm.ph3.st1.t2 | task.psm.ph3.st2.t1 | task.psm.ph3.st2.t2 | task.psm.ph4.st1.t1 | task.psm.ph4.st1.t2 | task.psm.ph4.st2.t1 | task.psm.ph4.st2.t2 | task.psm.ph5.st1.t1 | task.psm.ph5.st1.t2 | task.psm.ph5.st2.ss1.t1 | task.psm.ph5.st2.ss2.t1 | task.psm.ph6.st2.t1 | task.psm.ph6.st3.t1,CS-PSM-ARTIFACT-SECURITY-BASELINE-V1,simulated-produced-and-reviewed
psm-artifact.stack-scaffold,SAM Stack Scaffold,,psm,task.psm.ph1.st2.t1 | task.psm.ph1.st2.t2,task.psm.ph1.st2.t2 | task.psm.ph1.st3.t1 | task.psm.ph1.st3.t2 | task.psm.ph2.st1.t1 | task.psm.ph3.st1.t1 | task.psm.ph3.st1.t2 | task.psm.ph4.st2.t1 | task.psm.ph6.st2.t1,CS-PSM-ARTIFACT-STACK-SCAFFOLD-V1,simulated-produced-and-reviewed
psm-artifact.storage-layer,Durable Storage Layer,,psm,task.psm.ph3.st1.t1 | task.psm.ph3.st1.t2,task.psm.ph3.st1.t2 | task.psm.ph3.st2.t1 | task.psm.ph3.st2.t2 | task.psm.ph6.st1.t1 | task.psm.ph6.st2.t1,CS-PSM-ARTIFACT-STORAGE-LAYER-V1,simulated-produced-and-reviewed
psm-artifact.workflow-observability,Workflow & Observability,,psm,task.psm.ph5.st2.ss1.t1 | task.psm.ph5.st2.ss2.t1 | task.psm.ph5.st2.ss2.t2,task.psm.ph5.st2.ss2.t1 | task.psm.ph5.st2.ss2.t2 | task.psm.ph6.st1.t1 | task.psm.ph6.st2.t1 | task.psm.ph6.st3.t1,CS-PSM-ARTIFACT-WORKFLOW-OBSERVABILITY-V1,simulated-produced-and-reviewed
